ciudad;conglomerado;panelm;vivienda;hogar;periodo;mes;id_vivienda;id_consumo;Fecha;Id_persona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;4;1;1;2021;1;2766;2021240150411;1/1/2021;20211240150411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;4;2;1;2021;1;2767;2021240150421;1/1/2021;20211240150421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;4;3;1;2021;1;2768;2021240150431;1/1/2021;20211240150431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;4;4;1;2021;1;2769;2021240150441;1/1/2021;20211240150441;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;4;5;1;2021;1;2770;2021240150451;1/1/2021;20211240150451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;4;8;1;2021;1;2771;2021240150481;1/1/2021;20211240150481;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;16;1;1;2021;7;2772;20212401501611;7/1/2021;202172401501611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;16;2;1;2021;4;2773;20212401501621;4/1/2021;202142401501621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;16;2;1;2021;7;2774;20212401501621;7/1/2021;202172401501621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;16;3;1;2021;4;2775;20212401501631;4/1/2021;202142401501631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;16;3;1;2021;7;2776;20212401501631;7/1/2021;202172401501631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;16;4;1;2021;4;2777;20212401501641;4/1/2021;202142401501641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;16;4;1;2021;7;2778;20212401501641;7/1/2021;202172401501641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
240150;240150;16;5;1;2021;4;2779;20212401501651;4/1/2021;202142401501651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
